N 50 0
V 0 Noeud_0 3 158.766403 290.639038 1
V 1 Noeud_1 0 699.697144 164.276093 1
V 2 Noeud_2 3 420.079193 350.609894 1
V 3 Noeud_3 1 388.021484 497.878387 1
V 4 Noeud_4 2 332.530792 332.244080 1
V 5 Noeud_5 2 554.434814 290.071533 1
V 6 Noeud_6 1 408.781738 224.932968 1
V 7 Noeud_7 1 652.573730 447.109375 1
V 8 Noeud_8 1 536.626953 505.974518 1
V 9 Noeud_9 0 568.667847 157.853989 1
V 10 Noeud_10 0 656.097961 255.827667 1
V 11 Noeud_11 2 71.484253 468.492004 1
V 12 Noeud_12 3 744.501648 542.495605 1
V 13 Noeud_13 3 441.819336 341.159210 1
V 14 Noeud_14 2 540.026733 321.382416 1
V 15 Noeud_15 0 420.623230 381.949799 1
V 16 Noeud_16 2 121.365471 292.472473 1
V 17 Noeud_17 0 346.203735 475.813568 1
V 18 Noeud_18 2 175.822784 52.521027 1
V 19 Noeud_19 0 471.756348 235.224136 1
V 20 Noeud_20 2 426.184875 149.453384 1
V 21 Noeud_21 0 350.901215 368.998993 1
V 22 Noeud_22 1 667.037842 89.500183 1
V 23 Noeud_23 0 191.221237 410.963806 1
V 24 Noeud_24 2 715.881714 460.099274 1
V 25 Noeud_25 2 165.996262 85.164116 1
V 26 Noeud_26 3 297.342926 401.783661 1
V 27 Noeud_27 0 272.252014 185.441620 1
V 28 Noeud_28 2 321.712860 462.830475 1
V 29 Noeud_29 2 387.861450 76.731697 1
V 30 Noeud_30 0 60.868446 525.710693 1
V 31 Noeud_31 3 371.836823 201.084732 1
V 32 Noeud_32 3 313.529785 225.073471 1
V 33 Noeud_33 0 433.798615 52.633839 1
V 34 Noeud_34 3 143.204483 469.816345 1
V 35 Noeud_35 0 314.613464 234.647537 1
V 36 Noeud_36 1 376.607361 471.351807 1
V 37 Noeud_37 0 523.968018 535.711975 1
V 38 Noeud_38 0 445.322845 400.901123 1
V 39 Noeud_39 3 502.846863 476.578064 1
V 40 Noeud_40 0 401.695923 159.738098 1
V 41 Noeud_41 0 443.411926 460.051880 1
V 42 Noeud_42 2 208.075272 243.630768 1
V 43 Noeud_43 2 204.373550 304.574768 1
V 44 Noeud_44 2 293.334137 276.147736 1
V 45 Noeud_45 1 550.774414 346.972534 1
V 46 Noeud_46 0 90.716812 355.365906 1
V 47 Noeud_47 3 131.106644 235.263718 1
V 48 Noeud_48 1 95.102310 503.183655 1
V 49 Noeud_49 0 490.754822 311.734924 1
E 17 24 8.184215 6.986002 279.048706 0.817558 2
E 18 47 3.484092 45.265106 938.536621 0.602767 1
E 18 44 1.448324 11.800198 521.067200 0.598057 8
E 18 38 1.857026 22.943424 635.056519 0.941247 10
E 18 27 5.771887 12.463102 859.614990 0.694201 1
E 18 26 6.401549 5.531698 435.258972 0.887533 10
E 18 23 3.360191 26.769276 875.252075 0.700927 7
E 18 21 1.921308 25.088200 327.377869 0.577554 2
E 19 45 4.255211 46.365353 384.097809 0.684283 5
E 19 40 5.264280 15.985463 112.570808 0.876458 3
E 19 37 9.889771 8.493343 295.163086 0.781124 5
E 19 31 5.840192 39.688576 263.082336 0.736064 7
E 19 26 9.957763 7.075408 878.589661 0.864426 9
E 19 25 2.957282 6.682302 126.428978 0.773261 6
E 19 24 5.619237 9.264046 610.943848 0.796197 5
E 19 23 4.331305 2.282119 790.102051 0.636595 9
E 19 21 9.215569 6.865206 789.064880 0.951596 9
E 20 35 3.084466 31.602772 775.549683 0.757383 2
E 20 32 3.422148 12.148418 916.973694 0.765027 2
E 20 30 7.041053 17.226492 717.819580 0.719018 7
E 20 27 9.768348 20.712286 382.433624 0.645485 5
E 20 23 8.249492 2.120414 371.727478 0.680053 1
E 20 22 9.891404 10.937528 614.910461 0.833535 8
E 21 49 1.948833 44.753445 487.671051 0.770673 6
E 21 36 4.355650 25.004948 727.573853 0.796031 6
E 21 25 4.416906 44.269966 638.695801 0.922235 4
E 21 22 4.569210 15.792193 749.812378 0.942630 7
E 22 31 7.780479 9.267869 891.057800 0.782479 3
E 23 44 6.956909 10.673950 248.503876 0.613702 4
E 23 28 3.454162 1.518354 815.897705 0.996076 4
E 24 49 6.916597 45.919106 328.451050 0.597991 7
E 24 43 3.064492 16.862579 878.191956 0.651275 9
E 24 39 4.910773 8.446533 244.882812 0.803016 5
E 24 27 5.245092 24.182634 679.603027 0.882532 8
E 25 47 7.623659 16.467335 366.223785 0.790496 7
E 25 46 1.846370 27.848433 110.904266 0.815547 2
E 27 37 8.327358 22.313011 426.431335 0.961817 6
E 27 34 5.306448 3.518009 709.313660 0.797277 3
E 28 45 8.401032 1.804511 952.521179 0.680033 1
E 28 43 1.696024 39.502533 431.778320 0.887877 9
E 28 35 7.823420 18.531313 316.097290 0.748308 4
E 29 33 2.302114 31.603741 174.823761 0.646155 8
E 30 48 2.895148 5.111738 393.449493 0.503007 1
E 30 47 8.645218 1.974036 184.754700 0.873498 6
E 30 40 5.384154 9.060058 639.709106 0.883979 1
E 30 36 7.521213 1.088623 457.814117 0.989961 1
E 30 34 4.349822 30.700520 349.848602 0.891967 3
E 32 46 5.155786 35.232647 817.691772 0.747394 10
E 32 42 1.389024 24.550056 702.267944 0.509658 3
E 32 34 3.779988 24.214340 566.467651 0.512018 7
E 33 45 7.588934 23.964592 869.823669 0.514624 9
E 33 37 5.577996 8.548447 205.544220 0.989933 2
E 33 35 3.331877 32.862560 872.049561 0.798115 2
E 34 49 3.389243 39.146057 187.519897 0.692722 2
E 34 44 5.224279 30.702608 994.906616 0.941518 4
E 34 43 5.350933 7.188410 662.033020 0.827346 7
E 34 36 9.086347 40.335564 189.084686 0.803571 10
E 35 47 1.308154 23.540506 453.950897 0.918307 1
E 35 36 5.051836 29.346323 810.209106 0.880077 7
E 36 48 3.760156 22.440397 150.849350 0.791684 6
E 36 47 9.301602 39.257633 431.385101 0.716269 1
E 38 48 2.903650 48.065716 586.693970 0.870322 1
E 38 47 3.675037 24.678392 719.747498 0.720133 5
E 38 46 8.037180 27.614964 939.420898 0.859868 1
E 38 42 9.719399 49.660385 561.411926 0.806008 4
E 39 49 8.893492 33.189861 209.783264 0.570715 5
E 42 43 4.948356 17.402298 988.939026 0.721341 7
E 48 49 2.407248 47.881035 275.471161 0.913210 9
